id,image_filename,image_path,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,split
3129,3129.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\3129.jpg,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Inkfruit Men's Ahimsa Grey T-shirt,query
27280,27280.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\27280.jpg,Women,Apparel,Topwear,Kurtas,Black,Fall,2011.0,Ethnic,Mother Earth Women Black Kurta,query
52096,52096.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\52096.jpg,Women,Apparel,Topwear,Tops,Orange,Summer,2012.0,Casual,Myntra Women Orange Top,query
49497,49497.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\49497.jpg,Men,Footwear,Shoes,Casual Shoes,Navy Blue,Summer,2012.0,Casual,Vans Men Navy Blue Shoes,query
15713,15713.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\15713.jpg,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011.0,Sports,Nike Men Air Relentless Black Sports Shoes,query
6220,6220.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\6220.jpg,Men,Apparel,Topwear,Tshirts,Orange,Summer,2011.0,Casual,Lee Men's Believe Burnt Orange T-shirt,query
10609,10609.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\10609.jpg,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Puma Women White Dial Chronograph Watch,query
5130,5130.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\5130.jpg,Women,Apparel,Topwear,Tops,Black,Summer,2011.0,Casual,Wrangler Women Woodstock Black White Top,query
23745,23745.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\23745.jpg,Unisex,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Ray-Ban Unisex Highstreet Sunglasses,query
7313,7313.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\7313.jpg,Women,Apparel,Topwear,Tops,White,Summer,2011.0,Casual,UCB Women Sleeveless White Top,query
14663,14663.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\14663.jpg,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Basics Men Navy Blue Slim Fit Checked Shirt,query
12837,12837.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\12837.jpg,Women,Apparel,Dress,Dresses,Pink,Fall,2011.0,Casual,Ant Kids Button Bow Pink Dresses,query
4447,4447.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\4447.jpg,Men,Footwear,Sandal,Sandals,Black,Summer,2011.0,Casual,Nike Men Extra Wilderness Black Orange Sandal,query
20129,20129.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\20129.jpg,Women,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Casual,Wrangler Women Belted Purple Shirt,query
39895,39895.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\39895.jpg,Men,Footwear,Shoes,Sports Shoes,Navy Blue,Summer,2012.0,Sports,ADIDAS Men Navy Blue Corona Sports Shoes,query
46215,46215.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\46215.jpg,Men,Footwear,Shoes,Sports Shoes,Orange,Summer,2012.0,Sports,ADIDAS Men Orange Sports Shoes,query
27690,27690.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\27690.jpg,Women,Accessories,Bags,Handbags,Black,Winter,2015.0,Casual,Murcia Women Black Handbag,query
50705,50705.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\50705.jpg,Women,Apparel,Topwear,Tops,Cream,Summer,2012.0,Casual,Latin Quarters Women Cream Printed Top,query
58007,58007.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\58007.jpg,Women,Apparel,Topwear,Tops,Mustard,Fall,2012.0,Casual,Latin Quarters Women Chartreuse Yellow Top,query
47418,47418.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\47418.jpg,Women,Accessories,Bags,Handbags,Beige,Summer,2012.0,Casual,Baggit Women Beige Handbag,query
49670,49670.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\49670.jpg,Men,Accessories,Eyewear,Sunglasses,White,Winter,2016.0,Casual,United Colors of Benetton Men Sunglass,query
53431,53431.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\53431.jpg,Women,Apparel,Topwear,Kurtas,Black,Fall,2012.0,Ethnic,Alma Women Black Printed Kurta,query
51625,51625.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\51625.jpg,Women,Accessories,Watches,Watches,Purple,Winter,2016.0,Casual,Fossil Women Purple Dial Chronograph Watch ES3038,query
27278,27278.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\27278.jpg,Women,Apparel,Topwear,Kurtas,Brown,Fall,2011.0,Ethnic,Mother Earth Women Beige Kurta,query
56676,56676.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\56676.jpg,Men,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Maxima Men White Chronograph Watch,query
11917,11917.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\11917.jpg,Men,Footwear,Sandal,Sandals,Brown,Summer,2011.0,Casual,Franco Leone Men Casual Brown Sandals,query
27683,27683.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\27683.jpg,Women,Accessories,Bags,Handbags,White,Winter,2015.0,Casual,Murcia Women White Handbag,query
52076,52076.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\52076.jpg,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Myntra Men Grey T-shirt,query
57052,57052.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\57052.jpg,Women,Apparel,Dress,Dresses,Blue,Summer,2012.0,Casual,Elle Women Blue Dress,query
26374,26374.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\26374.jpg,Men,Footwear,Shoes,Sports Shoes,White,Fall,2012.0,Casual,Fila Men Drake White Sports Shoes,query
41035,41035.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\41035.jpg,Men,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Nautica Men White Dial Watch,query
30759,30759.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\30759.jpg,Men,Apparel,Topwear,Kurtas,Black,Summer,2012.0,Ethnic,Fabindia Men Printed Black Kurta,query
24662,24662.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\24662.jpg,Women,Footwear,Shoes,Casual Shoes,Black,Winter,2015.0,Casual,Catwalk Women Black Flat Casual Shoes,query
43233,43233.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\43233.jpg,Men,Footwear,Shoes,Sports Shoes,Grey,Summer,2012.0,Sports,Reebok Men Grey Acer Sports Shoes,query
51955,51955.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\51955.jpg,Women,Accessories,Bags,Handbags,Black,Summer,2012.0,Casual,Yelloe Women Black Handbag,query
27728,27728.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\27728.jpg,Women,Accessories,Bags,Handbags,Black,Winter,2015.0,Casual,Murcia Women Black Handbag,query
