image_path,category,split
images\Shirts_0000.jpg,Shirts,train
images\Shirts_0001.jpg,Shirts,train
images\Shirts_0002.jpg,Shirts,train
images\Shirts_0003.jpg,Shirts,train
images\Shirts_0004.jpg,Shirts,train
images\Shirts_0005.jpg,Shirts,train
images\Shirts_0006.jpg,Shirts,train
images\Shirts_0007.jpg,Shirts,train
images\Shirts_0008.jpg,Shirts,train
images\Shirts_0009.jpg,Shirts,train
images\Shirts_0010.jpg,Shirts,train
images\Shirts_0011.jpg,Shirts,train
images\Shirts_0012.jpg,Shirts,train
images\Shirts_0013.jpg,Shirts,train
images\Shirts_0014.jpg,Shirts,train
images\Shirts_0015.jpg,Shirts,train
images\Shirts_0016.jpg,Shirts,train
images\Shirts_0017.jpg,Shirts,train
images\Shirts_0018.jpg,Shirts,train
images\Shirts_0019.jpg,Shirts,train
images\Shirts_0020.jpg,Shirts,train
images\Shirts_0021.jpg,Shirts,val
images\Shirts_0022.jpg,Shirts,val
images\Shirts_0023.jpg,Shirts,val
images\Shirts_0024.jpg,Shirts,val
images\Shirts_0025.jpg,Shirts,test
images\Shirts_0026.jpg,Shirts,test
images\Shirts_0027.jpg,Shirts,test
images\Shirts_0028.jpg,Shirts,test
images\Shirts_0029.jpg,Shirts,test
images\Tshirts_0000.jpg,Tshirts,train
images\Tshirts_0001.jpg,Tshirts,train
images\Tshirts_0002.jpg,Tshirts,train
images\Tshirts_0003.jpg,Tshirts,train
images\Tshirts_0004.jpg,Tshirts,train
images\Tshirts_0005.jpg,Tshirts,train
images\Tshirts_0006.jpg,Tshirts,train
images\Tshirts_0007.jpg,Tshirts,train
images\Tshirts_0008.jpg,Tshirts,train
images\Tshirts_0009.jpg,Tshirts,train
images\Tshirts_0010.jpg,Tshirts,train
images\Tshirts_0011.jpg,Tshirts,train
images\Tshirts_0012.jpg,Tshirts,train
images\Tshirts_0013.jpg,Tshirts,train
images\Tshirts_0014.jpg,Tshirts,train
images\Tshirts_0015.jpg,Tshirts,train
images\Tshirts_0016.jpg,Tshirts,train
images\Tshirts_0017.jpg,Tshirts,train
images\Tshirts_0018.jpg,Tshirts,train
images\Tshirts_0019.jpg,Tshirts,train
images\Tshirts_0020.jpg,Tshirts,train
images\Tshirts_0021.jpg,Tshirts,val
images\Tshirts_0022.jpg,Tshirts,val
images\Tshirts_0023.jpg,Tshirts,val
images\Tshirts_0024.jpg,Tshirts,val
images\Tshirts_0025.jpg,Tshirts,test
images\Tshirts_0026.jpg,Tshirts,test
images\Tshirts_0027.jpg,Tshirts,test
images\Tshirts_0028.jpg,Tshirts,test
images\Tshirts_0029.jpg,Tshirts,test
images\Casual_Shoes_0000.jpg,Casual Shoes,train
images\Casual_Shoes_0001.jpg,Casual Shoes,train
images\Casual_Shoes_0002.jpg,Casual Shoes,train
images\Casual_Shoes_0003.jpg,Casual Shoes,train
images\Casual_Shoes_0004.jpg,Casual Shoes,train
images\Casual_Shoes_0005.jpg,Casual Shoes,train
images\Casual_Shoes_0006.jpg,Casual Shoes,train
images\Casual_Shoes_0007.jpg,Casual Shoes,train
images\Casual_Shoes_0008.jpg,Casual Shoes,train
images\Casual_Shoes_0009.jpg,Casual Shoes,train
images\Casual_Shoes_0010.jpg,Casual Shoes,train
images\Casual_Shoes_0011.jpg,Casual Shoes,train
images\Casual_Shoes_0012.jpg,Casual Shoes,train
images\Casual_Shoes_0013.jpg,Casual Shoes,train
images\Casual_Shoes_0014.jpg,Casual Shoes,train
images\Casual_Shoes_0015.jpg,Casual Shoes,train
images\Casual_Shoes_0016.jpg,Casual Shoes,train
images\Casual_Shoes_0017.jpg,Casual Shoes,train
images\Casual_Shoes_0018.jpg,Casual Shoes,train
images\Casual_Shoes_0019.jpg,Casual Shoes,train
images\Casual_Shoes_0020.jpg,Casual Shoes,train
images\Casual_Shoes_0021.jpg,Casual Shoes,val
images\Casual_Shoes_0022.jpg,Casual Shoes,val
images\Casual_Shoes_0023.jpg,Casual Shoes,val
images\Casual_Shoes_0024.jpg,Casual Shoes,val
images\Casual_Shoes_0025.jpg,Casual Shoes,test
images\Casual_Shoes_0026.jpg,Casual Shoes,test
images\Casual_Shoes_0027.jpg,Casual Shoes,test
